"","week_end","geography","county","percent_visits_combined","percent_visits_covid","percent_visits_influenza","percent_visits_rsv","percent_visits_smoothed_combined","percent_visits_smoothed_covid","percent_visits_smoothed_influenza","percent_visits_smoothed_rsv","ed_trends_covid","ed_trends_influenza","ed_trends_rsv","hsa","hsa_counties","hsa_nci_id","fips","trend_source","BuildNumber"
"83",2022-11-12,"Florida","All",5.04,1.23,3.36,0.49,4.43,1.2,2.79,0.48,"Increasing","Increasing","Increasing","All","All","All",12000,"State",2025-12-30
"84",2022-11-12,"Georgia","All",4.71,0.67,3.89,0.19,5.25,0.6,4.48,0.21,"Increasing","Increasing","Decreasing","All","All","All",13000,"State",2025-12-30
"85",2022-11-12,"Minnesota","All",9.31,2.37,5.15,1.99,7.11,2.4,3.15,1.67,"No Change","Increasing","Increasing","All","All","All",27000,"State",2025-12-30
"86",2022-11-12,"Mississippi","All",10.62,0.73,9.72,0.26,10.03,0.75,9.08,0.28,"No Change","Increasing","Decreasing","All","All","All",28000,"State",2025-12-30
"87",2022-11-12,"Montana","All",3.76,2.14,1.01,0.66,3,2.18,0.5,0.35,"No Change","Increasing","Increasing","All","All","All",30000,"State",2025-12-30
"88",2022-11-12,"Nevada","All",5.37,2.14,1.82,1.53,4.08,1.92,1.06,1.17,"Increasing","Increasing","Increasing","All","All","All",32000,"State",2025-12-30
"89",2022-11-12,"North Carolina","All",11.79,1.55,9.28,1.2,11.49,1.65,8.73,1.31,"Decreasing","Increasing","No Change","All","All","All",37000,"State",2025-12-30
"90",2022-11-12,"South Dakota","All",NA,2.02,0.77,1.32,NA,1.99,0.47,0.93,"Increasing","Increasing","Increasing","All","All","All",46000,"State",2025-12-30
"91",2022-11-12,"Utah","All",6.41,3.32,1.21,1.99,4.78,2.79,0.71,1.34,"Increasing","Increasing","Increasing","All","All","All",49000,"State",2025-12-30
"92",2022-11-19,"Alabama","All",7.38,0.98,6.15,0.31,10.55,1,9.33,0.31,"No Change","Decreasing","Decreasing","All","All","All",1000,"State",2025-12-30
"93",2022-11-19,"Arkansas","All",7.53,0.79,6.26,0.58,7,0.9,5.42,0.78,"No Change","Increasing","Decreasing","All","All","All",5000,"State",2025-12-30
"94",2022-11-19,"Delaware","All",7.49,1.33,5.01,1.2,7.92,1.56,4.43,2,"No Change","Increasing","Decreasing","All","All","All",10000,"State",2025-12-30
"95",2022-11-19,"Hawaii","All",4.14,2.19,1.49,0.51,4.83,2.07,2.12,0.72,"No Change","No Change","Decreasing","All","All","All",15000,"State",2025-12-30
"96",2022-11-19,"Illinois","All",9.58,2.41,5.96,1.36,8.39,2.37,4.43,1.73,"No Change","Increasing","Decreasing","All","All","All",17000,"State",2025-12-30
"97",2022-11-19,"Louisiana","All",6.85,0.94,5.46,0.49,7.73,0.93,6.34,0.52,"Increasing","Increasing","Decreasing","All","All","All",22000,"State",2025-12-30
"98",2022-11-19,"Maryland","All",8.78,1.96,5.52,1.47,9.54,2.05,5.82,1.85,"No Change","Increasing","Decreasing","All","All","All",24000,"State",2025-12-30
"99",2022-11-19,"Michigan","All",5.3,2.31,0.95,2.11,5.1,2.45,0.57,2.13,"Decreasing","Increasing","Increasing","All","All","All",26000,"State",2025-12-30
"100",2022-11-19,"Nebraska","All",6.63,2.34,2.84,1.54,5.65,2.1,1.94,1.69,"Increasing","Increasing","Increasing","All","All","All",31000,"State",2025-12-30
"101",2022-11-19,"New Mexico","All",11.74,5.09,3.35,3.51,9.54,4.7,1.93,3.05,"Increasing","Increasing","Increasing","All","All","All",35000,"State",2025-12-30
"102",2022-11-19,"New York","All",5.13,2.01,2.18,1.01,4.67,2.07,1.64,1.02,"No Change","Increasing","Increasing","All","All","All",36000,"State",2025-12-30
"103",2022-11-19,"Pennsylvania","All",5.51,1.57,2.86,1.15,5.26,1.81,2.16,1.36,"Decreasing","Increasing","Increasing","All","All","All",42000,"State",2025-12-30
"104",2022-11-19,"Rhode Island","All",3.92,1.64,1.34,0.98,3.73,1.64,1.04,1.11,"No Change","Increasing","No Change","All","All","All",44000,"State",2025-12-30
"105",2022-11-19,"South Carolina","All",7.39,1.17,5.83,0.46,9.73,1.2,8.04,0.56,"No Change","Increasing","Decreasing","All","All","All",45000,"State",2025-12-30
"106",2022-11-19,"Tennessee","All",8.32,1.27,6.6,0.54,8.98,1.33,7.1,0.67,"No Change","Increasing","Decreasing","All","All","All",47000,"State",2025-12-30
"107",2022-11-19,"Utah","All",8.2,3.66,2.23,2.46,6.37,3.21,1.35,1.92,"Increasing","Increasing","Increasing","All","All","All",49000,"State",2025-12-30
"108",2022-11-26,"Alaska","All",13.05,1.78,8.67,2.8,10.39,1.66,6.43,2.47,"No Change","Increasing","Increasing","All","All","All",2000,"State",2025-12-30
"109",2022-11-26,"Hawaii","All",4.61,2.2,2.35,0.13,4.75,2.19,2.19,0.44,"No Change","Decreasing","Decreasing","All","All","All",15000,"State",2025-12-30
"110",2022-11-26,"Idaho","All",10.52,3.24,4.72,2.74,7.13,2.61,2.56,2.06,"Increasing","Increasing","Increasing","All","All","All",16000,"State",2025-12-30
"111",2022-11-26,"Indiana","All",14.2,2.8,10.55,0.98,9.95,2.32,6.57,1.15,"Increasing","Increasing","Decreasing","All","All","All",18000,"State",2025-12-30
"112",2022-11-26,"Kansas","All",11.61,2.4,7.94,1.42,8.54,2.13,5.1,1.42,"Increasing","Increasing","No Change","All","All","All",20000,"State",2025-12-30
"113",2022-11-26,"North Carolina","All",11.66,1.87,9.24,0.74,11.19,1.61,8.79,0.98,"No Change","No Change","Decreasing","All","All","All",37000,"State",2025-12-30
"114",2022-11-26,"Oregon","All",14.04,2.78,9.57,1.96,9.2,2.34,5.38,1.63,"Increasing","Increasing","Increasing","All","All","All",41000,"State",2025-12-30
"115",2022-11-26,"Tennessee","All",12.25,1.75,10.17,0.47,9.92,1.43,8.02,0.58,"Increasing","Increasing","Decreasing","All","All","All",47000,"State",2025-12-30
"116",2022-11-26,"Virginia","All",11.53,2.1,9.04,0.52,10.24,1.77,7.9,0.69,"No Change","Increasing","Decreasing","All","All","All",51000,"State",2025-12-30
"117",2022-11-26,"Washington","All",15.98,2.65,11.35,2.36,11.24,2.19,6.98,2.33,"Increasing","Increasing","Increasing","All","All","All",53000,"State",2025-12-30
"118",2022-11-26,"Wisconsin","All",8.06,2.29,4.39,1.53,5.71,1.96,2.35,1.48,"Decreasing","Increasing","Increasing","All","All","All",55000,"State",2025-12-30
"119",2022-12-03,"Arkansas","All",8.82,1.76,6.8,0.47,9.18,1.34,7.45,0.54,"Increasing","Increasing","Decreasing","All","All","All",5000,"State",2025-12-30
"120",2022-12-03,"California","All",9.78,3.2,5.86,0.94,8.79,2.54,5.29,1.13,"Increasing","Increasing","No Change","All","All","All",6000,"State",2025-12-30
"121",2022-12-03,"Hawaii","All",4.51,2.27,2.06,0.22,4.41,2.22,1.96,0.29,"No Change","No Change","Decreasing","All","All","All",15000,"State",2025-12-30
"122",2022-12-03,"Kentucky","All",13.39,2.33,10.59,0.73,13.17,2.09,10.36,0.95,"Increasing","Increasing","Decreasing","All","All","All",21000,"State",2025-12-30
"123",2022-12-03,"Montana","All",8.58,2.61,4.88,1.23,7.13,2.52,3.54,1.16,"No Change","Increasing","Increasing","All","All","All",30000,"State",2025-12-30
"124",2022-12-03,"Nevada","All",10.02,2.87,5.91,1.47,8.89,2.78,4.76,1.54,"Increasing","Increasing","Increasing","All","All","All",32000,"State",2025-12-30
"125",2022-12-03,"New York","All",8.02,2.68,4.93,0.55,6.85,2.38,3.79,0.79,"Increasing","Increasing","Decreasing","All","All","All",36000,"State",2025-12-30
"126",2022-12-03,"Oklahoma","All",10.86,2.66,7.64,0.72,9.14,2.05,6.35,0.84,"Increasing","Increasing","No Change","All","All","All",40000,"State",2025-12-30
"127",2022-12-03,"South Dakota","All",NA,1.66,3.88,1.38,NA,1.8,2.88,1.42,"No Change","Increasing","No Change","All","All","All",46000,"State",2025-12-30
"128",2022-12-03,"West Virginia","All",10.93,1.86,8.05,1.18,10.84,1.8,7.55,1.63,"No Change","Increasing","Decreasing","All","All","All",54000,"State",2025-12-30
"129",2022-12-10,"Alabama","All",5.52,2.35,3.03,0.21,7.13,1.99,4.94,0.28,"Increasing","Decreasing","No Change","All","All","All",1000,"State",2025-12-30
"130",2022-12-10,"Alaska","All",13.5,1.67,10.16,1.99,13.27,1.63,9.54,2.39,"No Change","Increasing","No Change","All","All","All",2000,"State",2025-12-30
"131",2022-12-10,"Arizona","All",12.19,5.14,6.3,1.03,12.6,5.69,6.01,1.18,"Increasing","Increasing","Decreasing","All","All","All",4000,"State",2025-12-30
"132",2022-12-10,"District of Columbia","All",7.56,3.34,3.77,0.61,8.89,2.8,5.47,0.77,"Increasing","No Change","Decreasing","All","All","All",11000,"State",2025-12-30
"133",2022-12-10,"Florida","All",5.57,2.08,3.28,0.27,5.55,1.86,3.41,0.35,"Increasing","Increasing","Decreasing","All","All","All",12000,"State",2025-12-30
"134",2022-12-10,"Georgia","All",3.64,1.67,1.86,0.15,4.11,1.36,2.63,0.16,"Increasing","Decreasing","No Change","All","All","All",13000,"State",2025-12-30
"135",2022-12-10,"Illinois","All",11.97,3.75,7.81,0.61,12.93,3.46,8.88,0.83,"Increasing","Increasing","Decreasing","All","All","All",17000,"State",2025-12-30
"136",2022-12-10,"Iowa","All",10.82,3.33,6.11,1.62,9.52,3.28,4.59,1.93,"Increasing","Increasing","No Change","All","All","All",19000,"State",2025-12-30
"137",2022-12-10,"Nebraska","All",10.88,3.13,7.14,0.91,10.43,3.28,6.16,1.22,"Increasing","Increasing","Decreasing","All","All","All",31000,"State",2025-12-30
"138",2022-12-10,"Nevada","All",9.56,2.62,5.97,1.13,9.81,2.82,5.75,1.43,"Increasing","Increasing","Decreasing","All","All","All",32000,"State",2025-12-30
"139",2022-12-10,"New Jersey","All",9.74,3.01,6.46,0.45,10.11,2.63,7.06,0.59,"Increasing","Increasing","Decreasing","All","All","All",34000,"State",2025-12-30
"140",2022-12-10,"New Mexico","All",17.75,4.07,12.35,1.77,16.58,4.67,9.85,2.52,"Decreasing","Increasing","Decreasing","All","All","All",35000,"State",2025-12-30
"141",2022-12-10,"New York","All",8.29,2.77,5.24,0.42,7.89,2.63,4.8,0.6,"Increasing","Increasing","Decreasing","All","All","All",36000,"State",2025-12-30
"142",2022-12-10,"Ohio","All",10.8,2.93,7.35,0.55,11.01,2.71,7.62,0.7,"Increasing","Increasing","Decreasing","All","All","All",39000,"State",2025-12-30
"143",2022-12-10,"Oklahoma","All",11.83,2.91,8.49,0.55,11.11,2.57,7.99,0.69,"Increasing","Increasing","Decreasing","All","All","All",40000,"State",2025-12-30
"144",2022-12-10,"Oregon","All",14.13,2.87,9.99,1.58,14.12,2.88,9.75,1.79,"Increasing","Increasing","Increasing","All","All","All",41000,"State",2025-12-30
"145",2022-12-10,"Utah","All",12.4,3.82,5.66,3.3,11.96,4.13,4.9,3.28,"Increasing","Increasing","Increasing","All","All","All",49000,"State",2025-12-30
"146",2022-12-10,"Vermont","All",10.9,2.48,7.02,1.58,9.47,2.49,5.02,2.17,"Increasing","Increasing","Decreasing","All","All","All",50000,"State",2025-12-30
"147",2022-12-17,"Idaho","All",12.58,2.3,8.34,2.2,11.69,2.63,6.89,2.4,"Decreasing","Increasing","No Change","All","All","All",16000,"State",2025-12-30
"148",2022-12-17,"New Jersey","All",8.11,3.16,4.71,0.36,9.52,2.93,6.28,0.46,"Increasing","No Change","Decreasing","All","All","All",34000,"State",2025-12-30
"149",2022-12-17,"New York","All",8.11,2.84,5.09,0.3,8.14,2.76,5.09,0.43,"Increasing","Increasing","Decreasing","All","All","All",36000,"State",2025-12-30
"150",2022-12-17,"Pennsylvania","All",7.95,2.49,5.23,0.35,8.37,2.29,5.73,0.47,"Increasing","Increasing","Decreasing","All","All","All",42000,"State",2025-12-30
"151",2022-12-17,"South Dakota","All",NA,1.58,5.48,1.38,NA,1.62,4.56,1.44,"No Change","Increasing","No Change","All","All","All",46000,"State",2025-12-30
"152",2022-12-17,"Tennessee","All",6.66,2.7,3.79,0.28,8.49,2.44,5.85,0.33,"Increasing","Decreasing","Decreasing","All","All","All",47000,"State",2025-12-30
"153",2022-12-17,"Texas","All",7.37,2.52,4.49,0.5,8.38,2.33,5.58,0.62,"Increasing","Decreasing","Decreasing","All","All","All",48000,"State",2025-12-30
"154",2022-12-17,"Virginia","All",7.66,3.75,3.63,0.37,8.87,3.15,5.44,0.39,"Increasing","Decreasing","Decreasing","All","All","All",51000,"State",2025-12-30
"155",2022-12-24,"Alaska","All",8.72,1.76,5.6,1.53,11.41,1.92,7.96,1.81,"Increasing","Decreasing","Decreasing","All","All","All",2000,"State",2025-12-30
"156",2022-12-24,"California","All",7.72,3.24,3.92,0.63,8.29,3.12,4.57,0.69,"Increasing","Decreasing","Decreasing","All","All","All",6000,"State",2025-12-30
"157",2022-12-24,"Colorado","All",8.76,2.25,5.73,0.93,9.31,2.65,5.63,1.23,"Decreasing","Increasing","Decreasing","All","All","All",8000,"State",2025-12-30
"158",2022-12-24,"Delaware","All",8.97,3.34,5.38,0.36,9.73,2.91,6.47,0.5,"Increasing","Decreasing","Decreasing","All","All","All",10000,"State",2025-12-30
"159",2022-12-24,"Kansas","All",9.97,3.15,6.22,0.8,10.78,3.08,7.02,0.91,"Increasing","Decreasing","Decreasing","All","All","All",20000,"State",2025-12-30
"160",2022-12-24,"Massachusetts","All",12.12,4.54,7.41,0.41,11.67,3.95,7.31,0.65,"Increasing","Increasing","Decreasing","All","All","All",25000,"State",2025-12-30
