"","week_end","geography","county","percent_visits_combined","percent_visits_covid","percent_visits_influenza","percent_visits_rsv","percent_visits_smoothed_combined","percent_visits_smoothed_covid","percent_visits_smoothed_influenza","percent_visits_smoothed_rsv","ed_trends_covid","ed_trends_influenza","ed_trends_rsv","hsa","hsa_counties","hsa_nci_id","fips","trend_source","BuildNumber"
"1",2022-10-01,"Arizona","All",2,1.63,0.17,0.21,1.78,1.55,0.12,0.12,"Decreasing","No Change","Increasing","All","All","All",4000,"State",2025-12-30
"2",2022-10-01,"Arkansas","All",2.36,0.98,0.3,1.12,2.29,1.25,0.18,0.89,"Decreasing","Increasing","Decreasing","All","All","All",5000,"State",2025-12-30
"3",2022-10-01,"Connecticut","All",3.68,3.37,0.11,0.2,3.72,3.51,0.07,0.15,"Increasing","Increasing","Increasing","All","All","All",9000,"State",2025-12-30
"4",2022-10-01,"Delaware","All",3.63,2.68,0.08,0.88,3.46,2.63,0.07,0.76,"No Change","No Change","No Change","All","All","All",10000,"State",2025-12-30
"5",2022-10-01,"District of Columbia","All",3.12,1.75,0.1,1.28,2.93,1.82,0.11,1.04,"Decreasing","No Change","Increasing","All","All","All",11000,"State",2025-12-30
"6",2022-10-01,"Maine","All",4.28,4.04,0.03,0.21,3.92,3.76,0.04,0.13,"Increasing","No Change","Increasing","All","All","All",23000,"State",2025-12-30
"7",2022-10-01,"New Mexico","All",2.44,2.13,0.13,0.18,2.48,2.21,0.14,0.12,"Decreasing","No Change","Increasing","All","All","All",35000,"State",2025-12-30
"8",2022-10-01,"Pennsylvania","All",2.6,2.18,0.12,0.33,2.72,2.39,0.08,0.27,"Decreasing","Increasing","Increasing","All","All","All",42000,"State",2025-12-30
"9",2022-10-01,"Rhode Island","All",2.79,2.48,0.08,0.24,2.42,2.22,0.05,0.14,"Increasing","No Change","Increasing","All","All","All",44000,"State",2025-12-30
"10",2022-10-01,"Wisconsin","All",2.25,2.06,0.03,0.16,2.32,2.19,0.03,0.11,"Decreasing","No Change","Increasing","All","All","All",55000,"State",2025-12-30
"11",2022-10-08,"Colorado","All",1.82,1.54,0.09,0.2,1.83,1.58,0.1,0.16,"Decreasing","No Change","Increasing","All","All","All",8000,"State",2025-12-30
"12",2022-10-08,"Connecticut","All",3.86,3.33,0.21,0.33,3.76,3.43,0.12,0.22,"No Change","Increasing","Increasing","All","All","All",9000,"State",2025-12-30
"13",2022-10-08,"District of Columbia","All",3.28,1.44,0.22,1.64,3.15,1.69,0.14,1.35,"Decreasing","No Change","Increasing","All","All","All",11000,"State",2025-12-30
"14",2022-10-08,"Florida","All",2.24,1.14,0.65,0.47,2.59,1.45,0.61,0.55,"Decreasing","Increasing","Increasing","All","All","All",12000,"State",2025-12-30
"15",2022-10-08,"Hawaii","All",4.94,2.48,1.44,1.07,4.83,2.72,1.33,0.84,"No Change","Increasing","Increasing","All","All","All",15000,"State",2025-12-30
"16",2022-10-08,"Illinois","All",3.19,1.8,0.23,1.18,2.92,1.9,0.15,0.89,"Decreasing","Increasing","Increasing","All","All","All",17000,"State",2025-12-30
"17",2022-10-08,"Iowa","All",3.25,2.61,0.24,0.47,3.31,2.79,0.23,0.4,"Decreasing","No Change","Increasing","All","All","All",19000,"State",2025-12-30
"18",2022-10-08,"Montana","All",2.74,2.58,0.03,0.13,3.18,3.04,0.05,0.09,"No Change","No Change","Increasing","All","All","All",30000,"State",2025-12-30
"19",2022-10-08,"Nevada","All",1.79,1.31,0.21,0.28,1.59,1.28,0.16,0.16,"No Change","Increasing","Increasing","All","All","All",32000,"State",2025-12-30
"20",2022-10-08,"New Jersey","All",3.21,2.58,0.3,0.35,3.2,2.72,0.2,0.29,"No Change","Increasing","Increasing","All","All","All",34000,"State",2025-12-30
"21",2022-10-08,"New York","All",2.47,2.18,0.09,0.21,2.47,2.24,0.07,0.16,"No Change","Increasing","Increasing","All","All","All",36000,"State",2025-12-30
"22",2022-10-08,"Oregon","All",2.24,2.1,0.08,0.06,2.46,2.36,0.06,0.04,"No Change","Increasing","Increasing","All","All","All",41000,"State",2025-12-30
"23",2022-10-08,"Pennsylvania","All",2.58,2.01,0.1,0.49,2.62,2.18,0.09,0.36,"Decreasing","Increasing","Increasing","All","All","All",42000,"State",2025-12-30
"24",2022-10-08,"Vermont","All",4.8,4.15,0.04,0.61,4.33,3.91,0.04,0.39,"Increasing","No Change","Increasing","All","All","All",50000,"State",2025-12-30
"25",2022-10-08,"Wyoming","All",2.53,2.19,0.28,0.06,3.11,2.9,0.17,0.04,"No Change","Increasing","No Change","All","All","All",56000,"State",2025-12-30
"26",2022-10-15,"Alaska","All",2.19,1.48,0.32,0.38,1.94,1.47,0.23,0.24,"Decreasing","Increasing","Increasing","All","All","All",2000,"State",2025-12-30
"27",2022-10-15,"Connecticut","All",3.78,3.09,0.28,0.42,3.77,3.26,0.2,0.32,"Decreasing","Increasing","Increasing","All","All","All",9000,"State",2025-12-30
"28",2022-10-15,"Delaware","All",4.5,2.26,0.28,2.02,4,2.44,0.18,1.4,"No Change","Increasing","Increasing","All","All","All",10000,"State",2025-12-30
"29",2022-10-15,"District of Columbia","All",3.27,1.23,0.29,1.78,3.22,1.47,0.2,1.57,"Decreasing","Increasing","Increasing","All","All","All",11000,"State",2025-12-30
"30",2022-10-15,"Georgia","All",3,0.48,2.16,0.4,2.67,0.51,1.74,0.45,"Decreasing","Increasing","Decreasing","All","All","All",13000,"State",2025-12-30
"31",2022-10-15,"Illinois","All",3.84,1.91,0.38,1.59,3.28,1.84,0.25,1.22,"Decreasing","Increasing","Increasing","All","All","All",17000,"State",2025-12-30
"32",2022-10-15,"Montana","All",2.61,2.47,0.03,0.12,2.83,2.67,0.04,0.12,"Decreasing","No Change","Increasing","All","All","All",30000,"State",2025-12-30
"33",2022-10-15,"Nevada","All",1.96,1.41,0.19,0.39,1.82,1.38,0.18,0.27,"Increasing","Increasing","Increasing","All","All","All",32000,"State",2025-12-30
"34",2022-10-15,"Ohio","All",2.57,1.81,0.26,0.52,2.33,1.76,0.17,0.41,"Decreasing","Increasing","Increasing","All","All","All",39000,"State",2025-12-30
"35",2022-10-15,"Pennsylvania","All",2.8,1.88,0.21,0.73,2.66,2.02,0.14,0.52,"Decreasing","Increasing","Increasing","All","All","All",42000,"State",2025-12-30
"36",2022-10-15,"United States","All",3.24,1.63,0.9,0.73,3,1.71,0.68,0.63,"Decreasing","Increasing","Increasing","All","All","All",0,"United States",2025-12-30
"37",2022-10-15,"Utah","All",2.14,1.77,0.12,0.26,2.01,1.68,0.13,0.21,"Decreasing","No Change","Increasing","All","All","All",49000,"State",2025-12-30
"38",2022-10-22,"Arkansas","All",3.67,1.01,1.73,0.96,3.21,0.99,1.17,1.09,"No Change","Increasing","Increasing","All","All","All",5000,"State",2025-12-30
"39",2022-10-22,"California","All",2.31,1.08,0.65,0.6,1.91,1.07,0.45,0.41,"Decreasing","Increasing","Increasing","All","All","All",6000,"State",2025-12-30
"40",2022-10-22,"Delaware","All",4.61,1.74,0.54,2.37,4.33,2.12,0.34,1.9,"Decreasing","Increasing","Increasing","All","All","All",10000,"State",2025-12-30
"41",2022-10-22,"Indiana","All",4.18,1.9,0.67,1.65,3.6,1.66,0.45,1.52,"Increasing","Increasing","Increasing","All","All","All",18000,"State",2025-12-30
"42",2022-10-22,"Kansas","All",2.72,1.51,0.48,0.76,2.35,1.47,0.34,0.56,"Decreasing","Increasing","Increasing","All","All","All",20000,"State",2025-12-30
"43",2022-10-22,"Kentucky","All",3.76,1.63,0.77,1.39,3.57,1.74,0.5,1.37,"Decreasing","Increasing","Increasing","All","All","All",21000,"State",2025-12-30
"44",2022-10-22,"Massachusetts","All",4.09,2.6,0.17,1.37,4.2,3.05,0.14,1.04,"Decreasing","Increasing","Increasing","All","All","All",25000,"State",2025-12-30
"45",2022-10-22,"Michigan","All",3.98,2.96,0.13,0.91,3.7,3,0.1,0.62,"Decreasing","Increasing","Increasing","All","All","All",26000,"State",2025-12-30
"46",2022-10-22,"New Hampshire","All",NA,2.8,0.16,0.65,NA,3.14,0.26,0.45,"No Change","Increasing","Increasing","All","All","All",33000,"State",2025-12-30
"47",2022-10-22,"New Mexico","All",4.3,3.31,0.19,0.83,3.42,2.74,0.16,0.54,"Increasing","No Change","Increasing","All","All","All",35000,"State",2025-12-30
"48",2022-10-22,"North Carolina","All",6.04,1.72,3.05,1.37,4.9,1.91,1.84,1.23,"Decreasing","Increasing","Increasing","All","All","All",37000,"State",2025-12-30
"49",2022-10-22,"Rhode Island","All",2.68,1.86,0.14,0.7,2.74,2.16,0.1,0.48,"No Change","No Change","Increasing","All","All","All",44000,"State",2025-12-30
"50",2022-10-29,"Arkansas","All",5.34,0.81,3.38,1.24,4.09,0.95,2.07,1.13,"No Change","Increasing","No Change","All","All","All",5000,"State",2025-12-30
"51",2022-10-29,"California","All",2.95,1.12,1.01,0.8,2.36,1.07,0.7,0.59,"No Change","Increasing","Increasing","All","All","All",6000,"State",2025-12-30
"52",2022-10-29,"Georgia","All",5.33,0.55,4.57,0.25,3.88,0.5,3.11,0.3,"No Change","Increasing","Decreasing","All","All","All",13000,"State",2025-12-30
"53",2022-10-29,"Hawaii","All",5.91,2.27,2.74,0.94,5.84,2.4,2.32,1.17,"No Change","Increasing","No Change","All","All","All",15000,"State",2025-12-30
"54",2022-10-29,"Iowa","All",3.98,2.54,0.36,1.17,3.61,2.44,0.33,0.93,"No Change","No Change","Increasing","All","All","All",19000,"State",2025-12-30
"55",2022-10-29,"Kentucky","All",5.84,2,2.25,1.66,4.45,1.82,1.18,1.5,"No Change","Increasing","Increasing","All","All","All",21000,"State",2025-12-30
"56",2022-10-29,"Louisiana","All",7.74,0.79,6.42,0.59,6.18,0.8,4.76,0.67,"Decreasing","Increasing","Decreasing","All","All","All",22000,"State",2025-12-30
"57",2022-10-29,"Massachusetts","All",4.71,2.45,0.28,2.03,4.36,2.74,0.19,1.47,"Decreasing","Increasing","Increasing","All","All","All",25000,"State",2025-12-30
"58",2022-10-29,"Michigan","All",4.34,2.81,0.19,1.37,3.99,2.92,0.14,0.96,"Decreasing","Increasing","Increasing","All","All","All",26000,"State",2025-12-30
"59",2022-10-29,"New Hampshire","All",NA,2.69,0.38,1.11,NA,2.93,0.3,0.71,"No Change","No Change","Increasing","All","All","All",33000,"State",2025-12-30
"60",2022-10-29,"North Carolina","All",9.8,1.71,6.83,1.43,6.9,1.76,3.91,1.36,"Decreasing","Increasing","Increasing","All","All","All",37000,"State",2025-12-30
"61",2022-10-29,"Oklahoma","All",2.98,1.17,0.75,1.05,2.47,1.16,0.44,0.87,"No Change","Increasing","Increasing","All","All","All",40000,"State",2025-12-30
"62",2022-10-29,"Texas","All",5.97,0.7,4.28,1.08,4.91,0.68,3.28,1.01,"Decreasing","Increasing","Increasing","All","All","All",48000,"State",2025-12-30
"63",2022-10-29,"Virginia","All",8.36,1.95,5.4,1.11,6.07,1.88,3.14,1.12,"Decreasing","Increasing","Increasing","All","All","All",51000,"State",2025-12-30
"64",2022-10-29,"West Virginia","All",6.65,1.8,2.18,2.79,5.34,1.87,1.21,2.34,"Decreasing","Increasing","Increasing","All","All","All",54000,"State",2025-12-30
"65",2022-10-29,"Wyoming","All",3.8,2.56,0.73,0.54,3.23,2.56,0.39,0.3,"No Change","No Change","Increasing","All","All","All",56000,"State",2025-12-30
"66",2022-11-05,"Alaska","All",5.33,1.7,1.94,1.75,3.65,1.3,1.28,1.11,"No Change","Increasing","Increasing","All","All","All",2000,"State",2025-12-30
"67",2022-11-05,"District of Columbia","All",7.43,1.93,3.68,2,6.01,1.74,2.39,2.03,"Increasing","Increasing","No Change","All","All","All",11000,"State",2025-12-30
"68",2022-11-05,"Idaho","All",3.33,2.03,0.41,0.96,2.64,1.93,0.21,0.53,"No Change","Increasing","Increasing","All","All","All",16000,"State",2025-12-30
"69",2022-11-05,"Iowa","All",4.75,2.66,0.54,1.63,4.18,2.6,0.39,1.26,"No Change","Increasing","Increasing","All","All","All",19000,"State",2025-12-30
"70",2022-11-05,"Kansas","All",5.2,1.85,1.81,1.59,3.94,1.73,1.1,1.15,"Increasing","Increasing","Increasing","All","All","All",20000,"State",2025-12-30
"71",2022-11-05,"Kentucky","All",8.14,1.87,4.69,1.7,5.98,1.83,2.64,1.59,"Increasing","Increasing","Increasing","All","All","All",21000,"State",2025-12-30
"72",2022-11-05,"Michigan","All",4.93,2.68,0.34,1.95,4.43,2.81,0.22,1.42,"Decreasing","Increasing","Increasing","All","All","All",26000,"State",2025-12-30
"73",2022-11-05,"Minnesota","All",7.38,2.47,3.13,1.86,5.37,2.43,1.59,1.39,"Increasing","Increasing","Increasing","All","All","All",27000,"State",2025-12-30
"74",2022-11-05,"Nebraska","All",4.82,1.89,1.31,1.71,3.34,1.5,0.61,1.28,"Increasing","Increasing","Increasing","All","All","All",31000,"State",2025-12-30
"75",2022-11-05,"North Carolina","All",12.77,1.69,9.99,1.3,9.71,1.71,6.8,1.37,"Decreasing","Increasing","Increasing","All","All","All",37000,"State",2025-12-30
"76",2022-11-05,"Ohio","All",5.8,2.05,2.49,1.23,4.42,2,1.45,0.98,"Increasing","Increasing","Increasing","All","All","All",39000,"State",2025-12-30
"77",2022-11-05,"Pennsylvania","All",5.07,1.99,1.63,1.51,4.05,1.96,0.92,1.22,"No Change","Increasing","Increasing","All","All","All",42000,"State",2025-12-30
"78",2022-11-05,"South Dakota","All",NA,2.04,0.46,0.83,NA,1.74,0.27,0.67,"Increasing","Increasing","Increasing","All","All","All",46000,"State",2025-12-30
"79",2022-11-05,"Vermont","All",4.62,2.56,0.29,1.86,4.81,3.26,0.22,1.35,"Decreasing","Increasing","Increasing","All","All","All",50000,"State",2025-12-30
"80",2022-11-05,"Wisconsin","All",4.08,2.15,0.64,1.32,3.58,2.25,0.37,0.98,"No Change","Increasing","Increasing","All","All","All",55000,"State",2025-12-30
"81",2022-11-12,"Arizona","All",7.23,3.92,2.12,1.31,5.13,2.98,1.25,0.98,"Increasing","Increasing","Increasing","All","All","All",4000,"State",2025-12-30
"82",2022-11-12,"Connecticut","All",5.84,2.31,2.75,0.84,5.5,2.52,2.21,0.82,"Decreasing","Increasing","Increasing","All","All","All",9000,"State",2025-12-30
